TCM_ID,SMILES
MOL002905,C/C=C(/C)C(=O)OC(C)(C)[C@@H]1Cc2c(ccc3ccc(=O)oc23)O1
MOL003617,C=C(C)[C@@H](O)COc1c2occc2cc2ccc(=O)oc12
MOL013247,O=C(O)CCCO
MOL006946,N[C@@H]1NC=Nc2c1ncn2[C@@H]1O[C@H](O)[C@@H](O)[C@H]1O
MOL005669,COC1=C[C@@H](C)O[C@@H](O[C@H]2CC[C@@]3(C)C(=CC[C@H]4[C@H]3CC[C@@]3(C)[C@H]4CC[C@@]3(O)[C@H](C)O[C@H]3C[C@@H]4OC[C@]5(C[C@H](OC)[C@H](O[C@@H]6C[C@@H](OC)[C@H](O[C@@H]7C[C@@H](OC)[C@H](O)[C@@H](C)O7)[C@@H](C)O6)[C@@H](C)O5)OO[C@H]4[C@@H](C)O3)C2)C1=O
MOL000191,C=C[C@H](O)c1cc(OC)c(O)c(OC)c1
MOL007654,CC(C)[C@@H](C)/C=C\[C@@H](C)[C@H]1CC[C@@H]2[C@@H]3CC=C4C[C@H](O)CC[C@@]4(C)[C@H]3CC[C@@]21C
MOL002456,CCCC(=O)OCC[C@H](C)CCC=C(C)C
MOL011780,COc1cc([C@H](O)[C@H](CO)Oc2ccc(/C=C/CO)cc2OC)ccc1O
MOL010892,N[C@@H](Cn1oc(=O)[nH]c1=O)C(=O)O
MOL010938,CC1(C)[C@H](O)CC[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@](C)(C(=O)O)CC[C@@]5(CO)[C@H](O)C[C@@]4(C)[C@]3(C)CC[C@@H]12
MOL012905,COC1=C[C@@H]2[C@@H]3Cc4c(-c5cc(OC)c(O)c6c5C[C@H]5[C@H]7C=C(OC)C(=O)C[C@@]67CCN5C)cc(OC)c(O)c4[C@]2(CCN3C)CC1=O
MOL005239,COc1cc2ccnc3c2c(c1OC)-c1ccccc1C3=O
MOL002006,C/C1=C/CC[C@](C)(O)/C=C/[C@H](C(C)C)CC/C(C)=C/CC1
MOL008325,C[C@]12CCC[C@H](C1)OO2
MOL002728,O=c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12
MOL000715,CC(C)[C@@H]1CC[C@@H](C)CC1=O
MOL001807,COc1cc(C(=O)O)cc(OC)c1O
MOL005517,CCCCCCCCCCCCCCCC(C)C
MOL011104,CS(=O)(=O)CCC/C(S)=N\OS(=O)(=O)[O-]
MOL013139,CC(=O)N[C@@H]1CCCNC1=O
MOL008775,CC1=CC[C@]2(CC1=O)[C@@H](C)CC[C@H]2C(C)C
MOL009867,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=CC[C@@H]4[C@H](C)[C@H](O)CC[C@]4(C)C3=CC[C@]12C)C(C)C
MOL013093,COc1cc(OC)c2ccc(=O)oc2c1C[C@@H](O)C(C)(C)O[C@@H]1O[C@H](CO[C@H]2OC[C@](O)(CO)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
MOL007480,CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C
MOL002378,CCCCCCCCCCC
MOL000345,CC(C)=CCC/C(C)=C/COc1cc(O)c2c(O)c3c(cc2c1)C[C@@](C)(O)CC3=O
MOL002682,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
MOL005147,C/C=C1/[C@@H](O)OC=C(C(=O)OC)[C@@H]1CC(=O)OCCc1ccc(OC)c(OC)c1
MOL003990,C=CCC[C@@H](O)C(C)C
MOL011554,CC(C)[C@]1(C)CC[C@H](C)CC1=O
MOL009534,CCCCCCCCCCCCCCCCCC(C)C
MOL001104,C=C1CCC[C@]2(C)CC[C@@H](C(C)(C)OC(C)=O)C[C@@]12C
MOL004306,CC1=C2C[C@@H]3[C@@](C)(O)CC[C@]3(O)[C@](C)(O)C=C2OC1=O
MOL011807,C[C@H](CC[C@H](O)C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C
MOL012728,C[C@]12C=C(c3ccc(O)cc3O1)[C@@H]1Oc3cc(-c4cc5ccc(O)cc5o4)cc(OC(=O)c4ccc(O)cc4O)c3[C@H]1C2=O
MOL010715,CCCC(=O)CC(C)C
MOL009164,CCN1C[C@]2(COC(=O)c3ccccc3N3C(=O)C[C@H](C)C3=O)CC[C@@H](OC)[C@@]34[C@@H]5C[C@H]6[C@H](OC(C)=O)[C@@H]5[C@](O)(C[C@@H]6OC)[C@@](O)([C@H](OC)[C@H]23)[C@@H]14
MOL012682,O=c1ccc2c(O)cc(O)cc2o1
MOL001554,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
MOL006291,CN1CC(=O)N=C1N
MOL003569,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc3c2O)[C@H](O)[C@H](O)[C@H]1O
MOL004756,CCN1C[C@]2(COC)CC[C@@H](OC)[C@@]34[C@@H]5C[C@@]6(O)[C@H](OC(=O)c7ccc(OC)cc7)[C@@H]5[C@](OC(C)=O)(C[C@H]6OC)[C@@H]([C@H](OC)[C@H]23)[C@@H]14
MOL003093,CCCCOC(=O)[C@]1(OC(=O)/C=C/c2ccc(O)c(O)c2)C[C@@H](O)[C@@H](O)[C@H](O)C1
MOL007879,COc1cc(OC)c2c(=O)cc(-c3ccc(OC)c(OC)c3)oc2c1
MOL005844,CC[C@@H](C)[C@H](C)C(C)C
MOL012378,CCCC/C=C/C=C\C=C/CCCCCCCC(=O)O
MOL010345,C/C(=C\O)CC/C=C(\C)CCC[C@@H](C)CO
MOL003586,COc1ccc2ccc(=O)oc2c1C=O
MOL004243,CC1=C2C(=O)c3c(C)coc3C[C@@]2(C)[C@H](O)CC1
MOL011942,COc1cccc2ccccc12
MOL010650,CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)[C@H]4O[C@]43[C@@]21C
MOL012397,Nc1ccc(/C=N/O)cc1
MOL009471,C[C@H](CO)CCC(=O)[C@@H](C)[C@@H]1C(=O)C[C@@H]2[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
MOL006784,O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]3[C@H]1OC(=O)c1cc(O)c(O)c4c1[C@H]1[C@@](O)(O4)[C@]4(O)O[C@]5(C(=O)O[C@@H]6[C@@H](O)CO[C@@]65O)[C@]1(CC4=O)C(=O)O[C@@H]32)c1cc(O)c(O)c(O)c1
MOL001041,CO[C@@]1(C)/C=C/C/C(C)=C/CC/C(C)=C/C[C@H](C(C)C)CC1
MOL007896,C=Cc1cc(C)cc2c1-c1cc(O)c(O)c(C)c1CC2
MOL004613,CCC/C=C1/OC(=O)C2=C1CC[C@H]1[C@@H]2[C@@]2(OC(=O)C3=C2CCC=C3)[C@H]1CCC
MOL005901,CC1(C)CCC[C@@]2(C)CC[C@](C)(O)CC=C12
MOL010200,O[C@@H]1[C@@H](O)[C@@H](O)OC[C@@H]1O
MOL009021,CC(=O)O[C@@]1(C)C[C@H](O)[C@@H]2C=CO[C@@H](O)[C@@H]21
MOL001411,O=C(/C=C\c1ccc(O)cc1)OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@@H]1O
MOL002397,CCN1C[C@]2(C)CC[C@H](O)[C@@]34[C@@H]5C[C@H]6[C@H](O)[C@@H]5[C@](O)(C[C@@H]6OC)[C@@H](C[C@H]23)[C@@H]14
MOL009888,CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@]3(C=O)CC[C@@H](O)C(C)(C)[C@H]3CC[C@]12C
MOL011041,CCCO[C@]12C[C@H]3C4=CCO[C@@H]5CC(=O)N6c7ccccc7[C@@]1(CCN2C4)[C@@H]6[C@@H]53
MOL008260,Cc1cccc(O)c1C
MOL000650,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)OCC[C@H]21
MOL007195,O=C1C(O)=C(c2ccc(O)cc2)[O+]=C2[CH]C(O)=CC(O)=C12
MOL001942,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
MOL005002,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12
MOL011411,CC(C)=C[C@@H](C)C[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@@]2(C)[C@H]1[C@H](O)C[C@@H]1[C@@H]2CC[C@@H]2C(C)(C)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]12C
MOL008630,C[C@@]12c3ccc4c(c3CC[C@@H]1c1cc3c(cc1C[C@H]2O)OCO3)OCO4
MOL009922,C/C(=C\CC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@]3(C)CC[C@@H](O)C(C)(C)[C@H]3CC[C@]12C)CO
MOL000200,CC1=CC[C@@H](C(C)C)C=C1
MOL010129,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc3c2)[C@@H](O)[C@H](O)[C@H]1O
MOL012114,CCC/C=C/C=C/C=C/C=C/C(=O)NCC(C)C
