IMPHY_ID,SMILES
IMPHY000197,COc1cc2CCN([C@@H]3c2c(c1O)Oc1cc2CCN([C@H](c2cc1OC)Cc1ccc(Oc2cc(C3)ccc2OC)cc1)C)C
IMPHY000198,CC[C@H]1CN2CCc3c([C@@H]2C[C@@H]1C[C@H]1NCCc2c1cc(OC)c(c2)OC)cc(c(c3)OC)OC
IMPHY000199,CO[C@@H]1C[C@H](O[C@H]2CC[C@]3([C@H](C2)CC[C@@]24[C@@H]3[C@H](OC(=O)/C(=C/C)/C)[C@@H](OC(=O)C)[C@]3([C@]4(O2)CC[C@H]3C(=O)C)C)C)O[C@@H]([C@H]1O[C@@H]1O[C@H](C)[C@H]([C@H]([C@H]1O)OC)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)C
IMPHY000200,OCCCCCC[C@H]([C@@H](CCCCCCCC(=O)O[C@H]1C=C(C(=O)O)[C@@H]2C[C@@]31[C@@H](C=O)CC[C@H]3[C@]2(C)CO)O)O
IMPHY000201,CCCCCCCCCC/C=CCC[C@H]([C@H]1CC[C@@H](O1)[C@@H](CC[C@@H](CCCCCCC[C@H](CC1=C[C@@H](OC1=O)C)O)O)O)O
IMPHY000202,O=C1CC[C@@H]2[C@]([C@H]1C)(C)CC[C@H]1[C@@]2(C)CC[C@@]2([C@]1(C)CC[C@@]1([C@H]2CC(C)(C)CC1)O)C
IMPHY000203,O[C@@H]1C[C@](C)(C=C2[C@H]1[C@@]1(C)[C@H](O)CCC([C@@H]1CC2)(C)C)[C@@H]1CO1
IMPHY000204,COC(=O)C1=C2Nc3c([C@@]42[C@@H]2[C@@](C1)(CCCN2CC4)[C@H](OC(=O)c1cc(OC)c2c(c1)OCO2)C)cccc3
IMPHY000205,O=C1O[C@@H]2CCN3[C@@H]2C(=CC3)COC(=O)[C@]([C@H](C1)C)(C)O
IMPHY000206,O=C1C[C@@](C)(O)[C@H]2[C@@](C1)(C)CC[C@H](C2)C(O)(C)C
IMPHY000207,COC(=O)C1=C2Nc3c([C@@]42[C@@H]2[C@](C1)(CCCN2CC4)[C@H](OC(=O)C)C)ccc(c3)OC
IMPHY000208,COC[C@@]12CN(CC)[C@H]3[C@]4([C@@H]2[C@@H](OC)[C@@H]3[C@@]2([C@@H]3[C@H]4C[C@@]([C@@H]3OC(=O)c3ccc(c(c3)OC)OC)(C=C2)O)O)[C@H](C[C@H]1O)OC
